-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_per_fused_add_clone_convolution_div_native_gr...         0.00%       0.000us         0.00%       0.000us       0.000us       1.204ms         0.09%       1.204ms      60.178us            20  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.099ms         0.08%       1.099ms      54.962us            20  
triton_poi_fused_convolution_native_group_norm_silu_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.019ms         0.07%       1.019ms      25.471us            40  
triton_poi_fused_add_clone_convolution_div_native_gr...         0.00%       0.000us         0.00%       0.000us       0.000us     968.546us         0.07%     968.546us      48.427us            20  
triton_per_fused_add_clone_convolution_div_native_gr...         0.00%       0.000us         0.00%       0.000us       0.000us     965.798us         0.07%     965.798us      24.145us            40  
                          triton_red_fused_mm_silu_t_35         0.00%       0.000us         0.00%       0.000us       0.000us     935.396us         0.07%     935.396us      46.770us            20  
            triton_per_fused_clone_native_group_norm_43         0.00%       0.000us         0.00%       0.000us       0.000us     921.002us         0.07%     921.002us      46.050us            20  
            triton_per_fused_clone_native_group_norm_29         0.00%       0.000us         0.00%       0.000us       0.000us     893.381us         0.06%     893.381us      44.669us            20  
               triton_per_fused__fused_rms_norm_view_13         0.00%       0.000us         0.00%       0.000us       0.000us     878.149us         0.06%     878.149us       4.391us           200  
            triton_per_fused_clone_native_group_norm_34         0.00%       0.000us         0.00%       0.000us       0.000us     855.876us         0.06%     855.876us       3.566us           240  
triton_per_fused_add_constant_pad_nd_convolution_div...         0.00%       0.000us         0.00%       0.000us       0.000us     819.300us         0.06%     819.300us      40.965us            20  
triton_poi_fused__scaled_mm__to_copy_clamp_div_permu...         0.00%       0.000us         0.00%       0.000us       0.000us     809.440us         0.06%     809.440us       8.094us           100  
triton_poi_fused__scaled_mm__to_copy_clamp_div_t_vie...         0.00%       0.000us         0.00%       0.000us       0.000us     805.667us         0.06%     805.667us       8.057us           100  
