trial,width,arm,repeat,boundary,audit_status,raw_status,seconds,frames,fps,age_p50_ms,age_p95_ms,age_p99_ms,age_max_ms,max_event_gap_ms,final_silence_ms,frames_over_250ms,percent_over_250ms,frames_over_500ms,percent_over_500ms,frames_over_1000ms,percent_over_1000ms
latest-input-768-r0,768,latest-input,0,main/sent,passed,measured,60.2552998046875,2907,48.244718878219786,,,,,52.60009765625,4.60009765625,0,,0,,0,
latest-input-768-r1,768,latest-input,1,main/sent,passed,measured,60.256800048828126,3111,51.62902771934539,,,,,61.699951171875,9.0,0,,0,,0,
latest-input-768-r0,768,latest-input,0,main/received,passed,measured,60.2552998046875,1239,20.562506601346513,119.400146484375,142.71018066406248,321.7198535156249,488.7998046875,249.2998046875,5.699951171875,22,1.7756255044390639,0,0.0,0,0.0
latest-input-768-r1,768,latest-input,1,main/received,passed,measured,60.256800048828126,1264,20.97688557931616,112.6500244140625,146.97000732421873,193.58102539062486,256.60009765625,124.7001953125,50.7001953125,1,0.07911392405063292,0,0.0,0,0.0
latest-input-768-r0,768,latest-input,0,main/preview-image-raf,passed,measured,60.2552998046875,1234,20.479526348717997,136.3499755859375,168.9349365234375,337.43701660156256,492.7001953125,247.5,30.0,21,1.7017828200972447,0,0.0,0,0.0
latest-input-768-r1,768,latest-input,1,main/preview-image-raf,passed,measured,60.256800048828126,1259,20.89390739268912,132.89990234375,168.2099609375,211.64004882812515,281.89990234375,104.199951171875,39.300048828125,5,0.3971405877680699,0,0.0,0,0.0
latest-input-768-r0,768,latest-input,0,stage/webgl-frame-submitted,passed,measured,60.2552998046875,1239,20.562506601346513,125.0,147.500244140625,326.0821484374999,493.7001953125,250.7001953125,2.999755859375,22,1.7756255044390639,0,0.0,0,0.0
latest-input-768-r1,768,latest-input,1,stage/webgl-frame-submitted,passed,measured,60.256800048828126,1264,20.97688557931616,115.89990234375,152.95478515624998,197.5289746093748,260.5,106.900146484375,48.300048828125,3,0.23734177215189872,0,0.0,0,0.0
before-1024-r0,1024,before,0,main/sent,passed,measured,60.25919995117187,2158,35.81195903278887,,,,,683.400146484375,20.699951171875,0,,0,,0,
before-1024-r1,1024,before,1,main/sent,passed,measured,60.266599609375,2174,36.073048987184194,,,,,52.400146484375,19.099853515625,0,,0,,0,
before-1024-r0,1024,before,0,main/received,passed,measured,60.25919995117187,496,8.23110828557149,409.9000244140625,439.5750732421875,1345.3450073242188,1574.400146484375,684.60009765625,48.699951171875,496,100.0,11,2.217741935483871,6,1.2096774193548387
before-1024-r1,1024,before,1,main/received,passed,measured,60.266599609375,499,8.27987646945948,411.7001953125,435.83005371093753,442.51,473.300048828125,169.300048828125,33.599853515625,499,100.0,0,0.0,0,0.0
before-1024-r0,1024,before,0,main/preview-image-raf,passed,measured,60.25919995117187,496,8.23110828557149,423.39990234375,455.574951171875,1367.0700073242188,1586.699951171875,680.7998046875,22.89990234375,496,100.0,16,3.225806451612903,6,1.2096774193548387
before-1024-r1,1024,before,1,main/preview-image-raf,passed,measured,60.266599609375,499,8.27987646945948,425.300048828125,452.0,456.8018115234375,489.800048828125,167.800048828125,22.39990234375,499,100.0,0,0.0,0,0.0
